Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,7,11,9842301657,35,243592,17145,41891,false
aman-aplan,7,12,2196735084,35,226992,16076,42711,false
aman-aplan,7,13,9067852413,35,250022,17595,42625,false
aman-aplan,7,14,2405681973,35,183849,13354,43306,false
aman-aplan,7,15,2738495106,34,343824,25872,43956,false
aman-aplan,7,16,1069782534,35,366630,26440,42767,false
aman-aplan,7,17,3018795246,35,569953,42180,44328,false
aman-aplan,7,18,1736058429,34,184808,13656,43850,false
aman-aplan,7,19,6087432195,35,429889,30077,41902,false
aman-aplan,7,20,4925731068,35,59121,4585,44110,false
aman-aplan,7,21,3486027915,35,551616,41065,44338,false
aman-aplan,7,22,6941372580,34,52680,3854,44440,false
aman-aplan,7,23,1068243795,34,219947,16974,44961,false
aman-aplan,7,24,1764028593,34,175371,12168,43891,false
aman-aplan,7,25,3857069214,35,438304,30662,42534,false
aman-aplan,7,26,9125784630,35,280044,19842,42538,false
aman-aplan,7,27,7914823056,35,52499,4019,43329,false
aman-aplan,7,28,1258360497,33,314876,22133,42926,false
aman-aplan,7,29,7965023841,35,598105,42959,43074,false
aman-aplan,9,1,4105328976,35,377733,29214,45296,false
aman-aplan,9,1,6370951248,35,133641,11295,45921,false
aman-aplan,9,2,9431657082,34,302825,23930,46772,false
aman-aplan,9,3,1874029365,34,21478,1746,44404,false
aman-aplan,9,4,5691784320,35,152422,12058,46242,false
aman-aplan,9,5,8392760514,35,168298,13209,45661,false
aman-aplan,9,6,4612780539,35,165872,13393,47060,false
aman-aplan,9,7,8261384957,35,58663,4834,45340,false
aman-aplan,9,8,2463075891,34,280788,22363,46438,false
aman-aplan,9,9,9135874206,35,15050,1190,45211,false
aman-aplan,9,10,7095231486,34,430422,33746,47320,false
aman-aplan,9,11,9842301657,35,215730,16080,44719,false
aman-aplan,9,12,2196735084,35,570194,42759,44762,false
aman-aplan,9,13,9067852413,35,353415,27574,46713,false
aman-aplan,9,14,2405681973,35,381889,29989,46618,false
aman-aplan,9,15,2738495106,35,584200,45357,46624,false
aman-aplan,9,16,1069782534,36,293720,23226,47559,false
aman-aplan,9,17,3018795246,36,25502,2254,46589,false
aman-aplan,9,18,1736058429,35,87450,6565,47275,false
aman-aplan,9,19,6087432195,35,384524,29818,46262,false
aman-aplan,9,20,4925731068,35,49494,4323,48072,false
aman-aplan,9,21,3486027915,35,499026,37656,45353,false
aman-aplan,9,22,6941372580,33,3310,315,47107,false
aman-aplan,9,23,1068243795,35,564021,43654,46286,false
aman-aplan,9,24,1764028593,35,443379,35553,47748,false
aman-aplan,9,25,3857069214,35,395623,29814,45538,false
aman-aplan,9,26,9125784630,35,409497,32576,47264,false
aman-aplan,9,27,7914823056,35,552244,43485,47422,false
aman-aplan,9,28,1258360497,35,578823,44692,46266,false
aman-aplan,9,29,7965023841,35,397610,31907,47320,false
aman-aplan,11,1,4105328976,35,223860,19036,48789,false
aman-aplan,11,1,6370951248,35,495247,40612,49513,false
aman-aplan,11,2,9431657082,35,412244,34345,49745,false
aman-aplan,11,3,1874029365,34,488867,41202,49819,false
aman-aplan,11,4,5691784320,34,575906,46930,48813,false
aman-aplan,11,5,8392760514,34,210520,17623,49048,false
aman-aplan,11,6,4612780539,35,540141,44247,49342,false
aman-aplan,11,7,8261384957,35,285523,24360,49763,false
