Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,9,25,3857069214,35,91791,7478,45701,false
aman-aplan,9,26,9125784630,35,212868,16282,46670,false
aman-aplan,9,27,7914823056,35,556182,43967,47660,false
aman-aplan,9,28,1258360497,35,582761,45243,46522,false
aman-aplan,9,29,7965023841,35,401548,31871,47075,false
aman-aplan,11,1,4105328976,35,227798,19022,48575,false
aman-aplan,11,1,6370951248,35,555107,45415,49251,false
aman-aplan,11,2,9431657082,35,416182,34390,49721,false
aman-aplan,11,3,1874029365,34,492805,40703,49140,false
aman-aplan,11,4,5691784320,34,2948,351,48629,false
aman-aplan,11,5,8392760514,34,214458,17641,48853,false
aman-aplan,11,6,4612780539,35,544079,44780,49587,false
aman-aplan,11,7,8261384957,35,289461,24646,50150,false
aman-aplan,11,8,2463075891,34,2948,332,49096,false
aman-aplan,11,9,9135874206,35,469163,39600,50073,false
aman-aplan,11,10,7095231486,35,150866,12856,48456,false
aman-aplan,11,11,9842301657,35,420909,34128,49329,false
aman-aplan,11,12,2196735084,35,273994,22330,49419,false
aman-aplan,11,13,9067852413,36,423716,36254,51063,false
aman-aplan,11,14,2405681973,35,252909,20034,48112,false
aman-aplan,11,15,2738495106,35,186816,15419,49987,false
aman-aplan,11,16,1069782534,35,423298,34494,48944,false
aman-aplan,11,17,3018795246,35,593523,48231,48794,false
aman-aplan,11,18,1736058429,34,2948,337,50586,false
aman-aplan,11,19,6087432195,35,293418,23084,48506,false
aman-aplan,11,20,4925731068,35,521737,42569,49136,false
aman-aplan,11,21,3486027915,35,54858,4499,50071,false
aman-aplan,11,22,6941372580,35,146946,12219,48543,false
aman-aplan,11,23,1068243795,35,342224,26755,47585,false
aman-aplan,11,24,1764028593,34,2948,336,48918,false
aman-aplan,11,25,3857069214,35,71190,6405,48882,false
aman-aplan,11,26,9125784630,36,437538,35865,48893,false
aman-aplan,11,27,7914823056,35,124324,10742,49755,false
aman-aplan,11,28,1258360497,34,2948,321,48043,false
aman-aplan,11,29,7965023841,34,461595,38373,48396,false
aman-aplan,13,1,4105328976,35,324945,27032,49646,false
aman-aplan,13,1,6370951248,35,62668,5815,51152,false
aman-aplan,13,2,9431657082,35,23771,2374,52515,false
aman-aplan,13,3,1874029365,35,83119,7483,53287,false
aman-aplan,13,4,5691784320,35,580454,50046,51357,false
aman-aplan,13,5,8392760514,35,448691,39194,52570,false
aman-aplan,13,6,4612780539,34,597335,51922,52151,false
aman-aplan,13,7,8261384957,35,539563,46699,52181,false
aman-aplan,13,8,2463075891,35,14454,1534,52116,false
aman-aplan,13,9,9135874206,34,2948,319,51274,false
aman-aplan,13,10,7095231486,35,420091,37135,53059,false
aman-aplan,13,11,9842301657,35,122953,10723,51710,false
aman-aplan,13,12,2196735084,35,292282,23993,49648,false
aman-aplan,13,13,9067852413,35,186983,17647,54000,false
aman-aplan,13,14,2405681973,35,596793,51334,51522,false
aman-aplan,13,15,2738495106,35,225929,19831,53174,false
aman-aplan,13,16,1069782534,37,136542,11771,52680,false
aman-aplan,13,17,3018795246,35,10163,978,51734,false
aman-aplan,13,18,1736058429,35,174604,15666,52496,false
aman-aplan,13,19,6087432195,35,210741,19100,53224,false
aman-aplan,13,20,4925731068,34,71859,6435,51813,false
aman-aplan,13,21,3486027915,34,2948,330,49829,false
aman-aplan,13,22,6941372580,34,248202,21573,51770,false
aman-aplan,13,23,1068243795,35,326865,27884,50751,false
aman-aplan,13,24,1764028593,35,71627,6625,52602,false
aman-aplan,13,25,3857069214,35,406237,34979,52103,false
aman-aplan,13,26,9125784630,35,221515,18359,50964,false
aman-aplan,13,27,7914823056,34,263463,22942,51159,false
aman-aplan,13,28,1258360497,35,277158,24327,50837,false
aman-aplan,13,29,7965023841,35,188633,17564,52543,false
aman-aplan,15,1,4105328976,35,325605,29578,55627,false
aman-aplan,15,1,6370951248,34,364280,33232,54323,false
aman-aplan,15,2,9431657082,36,557604,48505,52099,false
aman-aplan,15,3,1874029365,35,537942,46684,52717,false
aman-aplan,15,4,5691784320,34,2948,324,55861,false
aman-aplan,15,5,8392760514,34,550159,50903,55544,false
aman-aplan,15,6,4612780539,35,254771,24059,55619,false
aman-aplan,15,7,8261384957,35,111373,9668,52750,false
aman-aplan,15,8,2463075891,36,261827,23692,54354,false
aman-aplan,15,9,9135874206,35,47430,4368,56306,false
aman-aplan,15,10,7095231486,35,292458,28347,57595,false
aman-aplan,15,11,9842301657,35,218842,19657,53475,false
aman-aplan,15,12,2196735084,34,2948,320,53209,false
aman-aplan,15,13,9067852413,34,2948,332,54103,false
aman-aplan,15,14,2405681973,35,33770,3572,56087,false
aman-aplan,15,15,2738495106,35,75566,7602,58026,false
aman-aplan,15,16,1069782534,34,2948,326,53886,false
aman-aplan,15,17,3018795246,35,10163,965,53738,false
aman-aplan,15,18,1736058429,35,384964,34440,54702,false
aman-aplan,15,19,6087432195,34,2948,352,54149,false
aman-aplan,15,20,4925731068,34,2948,328,55002,false
aman-aplan,15,21,3486027915,35,44287,3606,54552,false
aman-aplan,15,22,6941372580,35,69349,7024,53561,false
aman-aplan,15,23,1068243795,36,441913,42697,56566,false
aman-aplan,15,24,1764028593,35,291854,25346,51904,false
aman-aplan,15,25,3857069214,34,2948,341,51158,false
aman-aplan,15,26,9125784630,34,2948,321,53496,false
aman-aplan,15,27,7914823056,34,2948,341,53020,false
aman-aplan,15,28,1258360497,34,560431,51364,55009,false
aman-aplan,15,29,7965023841,34,307747,28974,56690,false
four,5,1,4105328976,37,149331,6285,23964,false
four,5,1,6370951248,36,87360,3962,24558,false
four,5,2,9431657082,37,77686,3091,23288,false
four,5,3,1874029365,36,478379,19762,24345,false
four,5,4,5691784320,37,576550,23058,24077,false
four,5,5,8392760514,37,48649,2190,24556,false
four,5,6,4612780539,36,400422,15384,22409,false
four,5,7,8261384957,40,554843,23105,25231,false
four,5,8,2463075891,36,307984,13126,24447,false
four,5,9,9135874206,37,223922,9917,24408,false
four,5,10,7095231486,36,497304,19884,23805,false
four,5,11,9842301657,37,365611,15471,24718,false
four,5,12,2196735084,36,227741,8559,24099,false
four,5,13,9067852413,38,379203,15067,24004,false
four,5,14,2405681973,38,318075,12210,24215,false
four,5,15,2738495106,37,32437,1524,24522,false
four,5,16,1069782534,36,452995,18522,24513,false
four,5,17,3018795246,37,405808,15908,23499,false
four,5,18,1736058429,36,326715,13943,26477,false
four,5,19,6087432195,38,574946,23155,24060,false
four,5,20,4925731068,37,599377,24059,24108,false
four,5,21,3486027915,36,411580,17540,25405,false
four,5,22,6941372580,37,257920,11135,24026,false
