Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,11,13,9067852413,35,371269,31706,49704,false
aman-aplan,11,14,2405681973,36,260055,25236,52738,false
aman-aplan,11,15,2738495106,36,197381,17493,52517,false
aman-aplan,11,16,1069782534,35,595269,50358,50933,false
aman-aplan,11,17,3018795246,35,438207,39987,52355,false
aman-aplan,11,18,1736058429,36,43464,4677,50666,false
aman-aplan,11,19,6087432195,36,292706,23071,49849,false
aman-aplan,11,20,4925731068,36,123732,9377,50154,false
aman-aplan,11,21,3486027915,36,190007,16255,50139,false
aman-aplan,11,22,6941372580,36,102141,10688,56218,false
aman-aplan,11,23,1068243795,35,461323,40478,51821,false
aman-aplan,11,24,1764028593,37,166223,20422,56957,false
aman-aplan,11,25,3857069214,36,87716,6741,50247,false
aman-aplan,11,26,9125784630,35,114673,9345,48780,false
aman-aplan,11,27,7914823056,37,393256,33507,50957,false
aman-aplan,11,28,1258360497,36,396124,33231,51397,false
aman-aplan,11,29,7965023841,36,262074,21541,48416,false
aman-aplan,13,1,4105328976,36,162479,14449,54975,false
aman-aplan,13,1,6370951248,36,516892,41884,48957,false
aman-aplan,13,2,9431657082,36,338725,29735,53378,false
aman-aplan,13,3,1874029365,36,94521,8932,47442,false
aman-aplan,13,4,5691784320,37,392731,35718,56883,false
aman-aplan,13,5,8392760514,36,21597,1864,54149,false
aman-aplan,13,6,4612780539,35,216138,22291,57013,false
aman-aplan,13,7,8261384957,36,478028,44000,53946,false
aman-aplan,13,8,2463075891,36,157036,12848,56299,false
aman-aplan,13,9,9135874206,35,377080,34583,53588,false
aman-aplan,13,10,7095231486,37,307939,30152,54093,false
aman-aplan,13,11,9842301657,36,159951,12320,47978,false
aman-aplan,13,12,2196735084,36,512008,48949,56896,false
aman-aplan,13,13,9067852413,36,373452,31504,50090,false
aman-aplan,13,14,2405681973,36,188467,15742,45502,false
aman-aplan,13,15,2738495106,36,235309,22672,54464,false
aman-aplan,13,16,1069782534,35,518147,39087,47475,false
aman-aplan,13,17,3018795246,35,348106,28199,49437,false
aman-aplan,13,18,1736058429,36,70397,7887,53133,false
aman-aplan,13,19,6087432195,35,543321,44411,50855,false
aman-aplan,13,20,4925731068,36,24869,2250,52089,false
aman-aplan,13,21,3486027915,35,441978,33976,48355,false
aman-aplan,13,22,6941372580,35,5780,528,53528,false
aman-aplan,13,23,1068243795,38,597019,50678,50975,false
aman-aplan,13,24,1764028593,37,225545,20657,51376,false
aman-aplan,13,25,3857069214,35,242657,20089,49225,false
aman-aplan,13,26,9125784630,36,10554,1013,51244,false
aman-aplan,13,27,7914823056,37,509373,43521,53966,false
