abba,5,13,9067852413,[^c]z|h|u|it|^$,39,116822,-10274,48502,false,
ranges,5,27,7914823056,ba|[^i]d|f,39,572762,-31234,32567,false,
four,5,13,9067852413,W|il|j|M[W-f]|o[f-j]|om,37,468304,-33945,43948,false,
words,5,12,2196735084,ak|ah|^r|^t|x|v|d|oo[^u]$,36,399591,-37539,57625,false,
ranges,5,28,1258360497,ff|fbd[^b]p|de|^d|ba|d$,41,323697,-22054,36932,false,
abba,5,14,2405681973,h^l|st|[^w]u|hi|z|t$,39,514953,-40288,46238,false,
four,5,14,2405681973,^j|Ma|^d|W|vi|o[^r]o,40,437303,-40622,56342,false,
words,5,13,9067852413,x|oo|^k|^t|v|^r|x|d$,35,163049,-15695,60140,true,
ranges,5,29,7965023841,ff|ede|[^b]b|^d|d$,41,212621,-14269,40301,false,
abba,5,15,2738495106,z|te|[^c]h|u|t$,39,373950,-27226,43567,false,
four,5,15,2738495106,on|j|M[W-f]|uh|[^o]v|W|ty|o[W-j]|vL^h$,38,532523,-43457,47992,false,
triples,5,1,4105328976,35|[^]75|^31|00|4$,32,77778,-5449,33363,false,
words,5,14,2405681973,ev|x|^m|^t|n[^]o|^r|^k|d$,36,376639,-35452,55437,false,
abba,5,16,1069782534,z|[^c]h|u|it,39,446995,-33642,45324,false,
triples,5,1,6370951248,24|^39|00|7[^7]$,32,300821,-17369,33295,false,
four,5,16,1069782534,o[^]o|^d|a$,37,333172,-25677,44939,false,
abba,5,17,3018795246,[^c]z|h|it|u|y,39,488435,-36137,44490,false,
triples,5,2,9431657082,02|24|6$|17,32,240323,-14574,32578,false,
words,5,15,2738495106,x|la|^k|d$|oo|^t|^r|c$,37,554860,-57965,60017,true,
four,5,17,3018795246,^j|d|o[^]o|W[W-j]|vi,39,255108,-15047,38451,false,
triples,5,3,1874029365,24|[^]75|00|^90|4$,33,366595,-20718,34835,false,
abba,5,18,1736058429,[^c]z|h|no|it|u|^o$,40,58186,-4486,47727,false,
four,5,18,1736058429,a^h|o[^]o|v[f-j]|es|a$,39,250456,-18283,42610,false,
words,5,16,1069782534,x|ev|^r|^t|oo|d$,35,289187,-32958,60074,true,
