Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
backrefs,5,11,9696640194,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,888,73777,true
backrefs,5,12,6621545651,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,891,75373,true
backrefs,5,13,2492462788,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,886,74244,true
backrefs,5,14,3404588599,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,903,73350,true
backrefs,5,15,2330977742,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,871,77962,true
backrefs,5,16,6361187489,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,920,71958,true
backrefs,5,17,2805026820,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,841,72884,true
backrefs,5,18,4323456912,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,884,76416,true
backrefs,5,19,8361101999,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,863,76204,true
backrefs,5,20,9935136846,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,1021,76916,true
backrefs,5,21,5217407358,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,874,76992,true
backrefs,5,22,5619256299,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,866,74992,true
backrefs,5,23,4560422870,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,1026,76163,true
backrefs,5,24,5236888092,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,926,73750,true
backrefs,5,25,1337360711,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,869,74583,true
backrefs,5,26,7659837985,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,1058,77066,true
backrefs,5,27,2521100877,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,869,75509,true
backrefs,5,28,8801535107,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,887,76280,true
backrefs,5,29,9651599436,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,853,72111,true
abba,5,1,2967301147,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,515,37820,false
