Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
anchors,5,15,2330977742,k$,k$,21,42,359498,0,24480,39937,false
anchors,5,16,6361187489,^gok|R$,^gok|R$,21,42,519925,0,37786,42401,false
anchors,5,17,2805026820,k$,k$,21,42,594833,0,32865,33655,false
anchors,5,18,4323456912,gk|m$,gk|m$,21,42,61453,0,4115,44247,false
anchors,5,19,8361101999,wk|r$,wk|r$,21,42,869,0,101,35088,false
anchors,5,20,9935136846,k$,k$,21,42,36,0,18,39893,false
anchors,5,21,5217407358,pv[c-l]k|$,pv[c-l]k|$,21,42,117984,0,7291,40664,false
anchors,5,22,5619256299,k$,k$,21,42,278462,0,16516,35431,false
anchors,5,23,4560422870,^ok|g$,^ok|g$,21,42,95927,0,5975,35676,false
anchors,5,24,5236888092,k$,k$,21,42,451782,0,23653,32005,false
powers,5,4,9724161943,^x?x$,^x?x$,2,13,250,0,596,572490,true
triples,5,2,1632819610,^[2-7]1|00|902|4[789][2-6]|([0-7])\1[3-9]*[5-9],^[2-7]1|00|902|4[789][2-6]|([0-7])\1[3-9]*[5-9],15,36,501332,1,511842,558023,true
anchors,5,25,1337360711,^k|i$,^k|i$,21,42,481971,0,184438,190225,true
anchors,5,26,7659837985,k$,k$,21,42,370189,0,22631,34547,false
anchors,5,27,2521100877,[ijk]\b,[ijk]\b,21,42,87261,0,5353,36185,false
anchors,5,28,8801535107,k$,k$,21,42,62002,0,3762,36111,false
anchors,5,29,9651599436,sk|k$,sk|k$,21,42,465414,0,32954,40529,false
abba,5,29,9651599436,v|wt[^]i\1i|[l-t][i-t]t|[f-t](h|u)|([t-z][e-t]|h)$\1,v|wt[^]i\1i|[l-t][i-t]t|[f-t](h|u)|([t-z][e-t]|h)$\#,18,40,409766,1,468978,800419,true
aman-aplan,5,1,2967301147,x|^r|^t|^[i-n]|l[^i][g-r]|r[a-d]r|[a-d]$,x|^r|t|[i-n]|l[^i][g-r]|r[a-d]r|[a-d]$,16,37,377353,0,37582,64067,true
ranges,5,1,2967301147,\b[a-f]+$,\b[a-f]+$,21,42,271114,1,75003,179294,true
