words,15,6,4612780539,35,181247,-12908,46735,false,
words,15,7,8261384957,36,477516,-45008,54894,false,
words,15,8,2463075891,36,431743,-35148,49343,false,
words,15,9,9135874206,35,152967,-12359,50424,false,
words,15,10,7095231486,37,313965,-26809,49907,false,
words,15,11,9842301657,36,229881,-19028,49407,false,
words,15,12,2196735084,36,454181,-37870,50474,false,
words,15,13,9067852413,36,328761,-26294,48930,false,
words,15,14,2405681973,35,220698,-16970,47222,false,
words,15,15,2738495106,36,96504,-7392,50954,false,
words,15,16,1069782534,37,161461,-13364,47804,false,
words,15,17,3018795246,35,432512,-38464,51500,false,
words,15,18,1736058429,36,102719,-10216,49265,false,
words,15,19,6087432195,36,288089,-22750,49778,false,
words,15,20,4925731068,36,123755,-9337,50099,false,
words,15,21,3486027915,35,190338,-16597,51115,false,
words,15,22,6941372580,35,532043,-48110,53407,false,
words,15,23,1068243795,35,460646,-40556,52002,false,
words,15,24,1764028593,37,203480,-18148,50245,false,
words,15,25,3857069214,35,133064,-10489,50426,false,
words,15,26,9125784630,35,109615,-9025,48734,false,
words,15,27,7914823056,37,391512,-32121,49964,false,
words,15,28,1258360497,36,354695,-27188,47828,false,
words,15,29,7965023841,36,257409,-21190,47976,false,
anchors,5,1,4105328976,42,272321,-15775,35267,false,
anchors,5,1,6370951248,42,2223,-208,36092,false,
anchors,5,2,9431657082,42,383978,-22926,35937,false,
anchors,5,3,1874029365,42,391641,-26568,37281,false,
anchors,5,4,5691784320,42,315408,-19126,37182,false,
anchors,5,5,8392760514,42,597992,-37637,37743,false,
anchors,5,6,4612780539,42,462514,-26659,34882,false,
anchors,5,7,8261384957,42,345027,-20503,38183,false,
anchors,5,8,2463075891,42,346885,-20348,36753,false,
anchors,5,9,9135874206,42,553275,-34384,36970,false,
anchors,5,10,7095231486,42,332548,-19005,35407,false,
anchors,5,11,9842301657,42,313753,-18623,35906,false,
anchors,5,12,2196735084,42,502802,-33751,38704,false,
anchors,5,13,9067852413,42,99983,-6311,36928,false,
anchors,5,14,2405681973,42,173569,-11648,37417,false,
anchors,5,15,2738495106,42,507032,-33518,39650,false,
anchors,5,16,1069782534,42,2378,-222,38579,false,
anchors,5,17,3018795246,42,383460,-23210,36768,false,
anchors,5,18,1736058429,42,136691,-8637,38284,false,
anchors,5,19,6087432195,42,457107,-26989,36567,false,
anchors,5,20,4925731068,42,170682,-9687,34148,false,
anchors,5,21,3486027915,42,386012,-23111,36780,false,
anchors,5,22,6941372580,42,175492,-9477,34549,false,
anchors,5,23,1068243795,42,84940,-5738,37826,false,
anchors,5,24,1764028593,42,194233,-12328,36726,false,
anchors,5,25,3857069214,42,345436,-22034,37736,false,
anchors,5,26,9125784630,42,220052,-13055,38633,false,
anchors,5,27,7914823056,42,5495,-395,34710,false,
anchors,5,28,1258360497,42,350321,-23595,38786,false,
anchors,5,29,7965023841,42,158988,-11094,40441,false,
anchors,7,1,4105328976,42,6327,-586,38141,false,
anchors,7,1,6370951248,42,313615,-19836,36889,false,
anchors,7,2,9431657082,42,5389,-335,34584,false,
anchors,7,3,1874029365,42,457440,-29995,37350,false,
anchors,7,4,5691784320,42,313069,-18616,36808,false,
anchors,7,5,8392760514,42,130120,-7995,36915,false,
anchors,7,6,4612780539,42,327489,-19272,35430,false,
anchors,7,7,8261384957,42,181953,-13034,40445,false,
anchors,7,8,2463075891,42,312984,-19197,37382,false,
anchors,7,9,9135874206,42,224784,-15364,39563,false,
anchors,7,10,7095231486,42,166686,-9505,35483,false,
anchors,7,11,9842301657,42,192055,-11753,35680,false,
anchors,7,12,2196735084,42,498522,-30423,35601,false,
anchors,7,13,9067852413,42,488627,-29312,36009,false,
anchors,7,14,2405681973,42,402769,-26716,37995,false,
anchors,7,15,2738495106,42,125723,-9186,39262,false,
anchors,7,16,1069782534,42,557079,-34522,36616,false,
anchors,7,17,3018795246,42,149003,-9232,36679,false,
anchors,7,18,1736058429,42,505277,-31848,39127,false,
anchors,7,19,6087432195,42,196657,-11406,35082,false,
anchors,7,20,4925731068,42,342238,-21327,35426,false,
