Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,12,5,^ac|z|st|u[^ny],38,14627,913,60968,true
abba,12,6,y|u|z|t$,34,2688,186,60954,true
abba,12,7,hi|z|[^x]u|t$,37,7953,531,61466,true
abba,12,8,^z|z|^v|^n|^p|ph|u|frd[^xl]$,38,10608,914,60697,true
abba,12,9,z|u|st|t$,36,2017,150,61514,true
abba,12,10,z|y|^v|u|t$,35,9296,621,60529,true
abba,12,11,^z|z|^v|^n|^p|u|ph,38,133918,8455,60160,true
abba,12,12,z|u|t$,33,8977,585,60661,true
abba,12,13,z|u|it,35,6971,509,60392,true
abba,12,14,z|u[^no]|c^z|hi,36,10281,710,61590,true
abba,12,15,z|y|[^x]hi|u|t$,37,43479,2700,60420,true
abba,12,16,^z|z|^v|^n|^p|ph|[^x]u|t$,41,68058,4597,60758,true
abba,12,17,z|u|[^co]h|t$,37,4456,325,61002,true
abba,12,18,N/A,0,0,61643,61643,true
abba,12,19,st|^v|ca|u|z|ptykdun$,38,11799,1137,60566,true
abba,12,20,z|[^x]u|h[^eo],37,58229,3513,61438,true
abba,12,21,z|[^x]u|ca|st|t$,40,9034,638,61284,true
abba,12,22,y|u|z|h^eof$,33,1539,138,60610,true
abba,12,23,^z|z|^v|^p|u|[^cx]h,38,5547,405,60078,true
abba,12,24,z|y|hi[^ps]|u,36,7337,501,60663,true
abba,12,25,^g|^v|^n|p|u,34,7629,429,60831,true
abba,12,26,[^g]^|^v|^n|y|u|z|t$,36,15365,924,61391,true
abba,12,27,^n|ca|z|u|rtdf[^]$,35,6813,511,61182,true
abba,12,28,^g|^v|^n|p|u,34,4767,281,61545,true
abba,12,29,z|u|t$,33,3701,325,60224,true
abba,12,30,ca|u|z|t$,35,4563,348,60137,true
abba,13,1,^[^h]i|u|y|z|t$,36,7944,568,61545,true
abba,13,2,^z|z|^v|y|hi|u,36,8199,579,61062,true
abba,13,3,N/A,0,0,60828,60828,true
abba,13,4,[^cf]z|h|[^x]u|t$,35,8469,616,60669,true
abba,13,5,z|[^ch]h|ry|u|it|y^$,40,91870,6981,60384,true
abba,13,6,z|u|st|^$,35,2352,165,60131,true
abba,13,7,z|^n|ca|u|y|t$,37,48144,3339,61019,true
abba,13,8,z|[^x]u,34,3530,255,60130,true
abba,13,9,z|[^cs]h|^ua|u,36,1916,164,61002,true
abba,13,10,st|a^umz|z|^v|[^ex]u|l$,39,20301,1615,60543,true
abba,13,11,z|u|p[^x]i,34,6384,528,60309,true
abba,13,12,N/A,0,0,61104,61104,true
abba,13,13,z|oi|[^cx]h|u|m^z|t$,38,22092,1308,60506,true
abba,13,14,uxsv|z|it|u|^n,36,24346,1537,60947,true
abba,13,15,z|[^c]h|u,36,2672,172,61036,true
abba,13,16,^z|z|^v|^n|^p|ph|u|t$,39,40012,2503,60067,true
abba,13,17,^a|iz|u[^nx],35,24789,1471,61242,true
abba,13,18,^z|z|^v|^n|^p|ph|[^x]u,40,19983,1360,61591,true
abba,13,19,^g|^v|^n|p|u,34,2995,209,61427,true
abba,13,20,N/A,0,0,61505,61505,true
abba,13,21,np^b|[^x]u|z|t$,35,3954,300,61051,true
abba,13,22,z|u,32,555,44,61461,true
abba,13,23,^z|z|^a|[^x]u|^v|^n|^p,38,21683,1707,60758,true
abba,13,24,te|c^z|u|z|t$,35,6316,386,61534,true
abba,13,25,z|ph|[^x]u|t$,38,23203,1372,61097,true
abba,13,26,z|u|[^c]h|t$,37,18145,1108,60901,true
abba,13,27,st|^z|ca|z|[^x]u|it,41,66723,5239,61215,true
abba,13,28,z|u|g^itfr$,32,1097,103,60139,true
abba,13,29,z|u|du^rhyp$,32,1150,115,60387,true
abba,13,30,z|hi|y|u|t$,36,3142,241,60424,true
abba,14,1,N/A,0,0,60687,60687,true
abba,14,2,z|u|ca|st|t$,38,31742,1932,61165,true
abba,14,3,^g|^v|^n|p|u,34,3756,244,60663,true
abba,14,4,z|u|lt^gp$,32,2560,213,61412,true
abba,14,5,z|v|u[^nx]|h|t$,36,5294,327,60135,true
abba,14,6,^g|^v|^n|p|u,34,8280,530,61074,true
abba,14,7,l^g|^v|^n|y|u|z|t$,36,17750,1096,60476,true
abba,14,8,^z|z|^v|^n|^p|ph|u|rb[^bv]sfn$,38,15170,1555,60800,true
abba,14,9,^a|z|^v|^n|^p|u|t$,37,12553,789,60795,true
abba,14,10,ovhz|[^]u|z|t$,35,8387,635,60847,true
abba,14,11,[^x]u|z|u[^sy]^ytr$,34,1973,184,61576,true
abba,14,12,hi|z|[^x]u|^p|t$,38,35974,2446,60531,true
abba,14,13,^a|z|it|u|c$,36,17028,1085,61120,true
abba,14,14,z|u|mlv^gsw$,32,1473,145,61343,true
abba,14,15,z|u|[^cx]h,36,4487,300,60631,true
abba,14,16,z|[^x]u|st|t$,38,13185,978,60586,true
abba,14,17,^z|z|^v|^n|^p|ph|[^x]u,40,47593,3109,61332,true
abba,14,18,z|^a|[^x]u|^p|te$,37,13800,1044,60101,true
abba,14,19,z|y|u|hi,35,9447,841,60689,true
abba,14,20,p|e$,29,1383,106,61060,true
abba,14,21,z|u|ph,35,10592,740,60600,true
abba,14,22,N/A,0,0,60886,60886,true
abba,14,23,N/A,0,0,60527,60527,true
abba,14,24,N/A,0,0,60524,60524,true
abba,14,25,ph|z|u|^p|t$,37,18448,1314,61392,true
abba,14,26,z|u|p[^ia]|f^l|t$,36,21825,1625,60768,true
abba,14,27,[^x]u|^g|^v|^n|p|t$,37,68391,3482,61243,true
abba,14,28,z|e^g|u|^v|^n|^p|ph|t$,39,87802,5992,61356,true
abba,14,29,^g|^v|^n|p|[^d]u,36,8673,661,61437,true
abba,14,30,z|ry|[^cw]h|^v|u|t$,39,52976,3639,60688,true
abba,15,1,z|u|[^c]h|oi|it|t$,39,45308,2932,60776,true
abba,15,2,N/A,0,0,61610,61610,true
