Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
anchors,5,27,7914823056,k$,21,42,306272203,33455,false
triples,5,26,9125784630,(4).2|^31|79?5|.0.2?$,11,32,21055615329,41533,false
anchors,5,28,1258360497,k$,21,42,47691924486,31080,false
anchors,5,29,7965023841,k$,21,42,55657330486,32627,false
triples,5,27,7914823056,48|68^03|00|7.?.?$,11,32,579074453,41455,false
ranges,5,1,4105328976,ed|ff|ab|^d|d$,20,41,33968116267,31236,false
triples,5,28,1258360497,18?7|^.9?0|24|2$,11,32,31283723157,47737,false
ranges,5,1,6370951248,a.[^hrtj]|d$,19,40,55429124611,26611,false
ranges,5,2,9431657082,ab|d|f.$,18,39,38456419423,28189,false
triples,5,29,7965023841,^9?0|[^0].7|1$,10,31,48126333095,40939,false
ranges,5,3,1874029365,ab|d|f.$,18,39,48377621736,27048,false
glob,5,1,4105328976,^c|[^l]\*|im|bo|y.,14,35,1714959126,33064,false
ranges,5,4,5691784320,[^n].d$|de|a..$,19,40,28996212782,29236,false
glob,5,1,6370951248,[^l]\*|^p|y..,13,34,37596721532,34611,false
ranges,5,5,8392760514,d|ba|.f.$,18,39,57411730455,32049,false
glob,5,2,9431657082,to|y.|^pb?|rr|d.$,14,35,834296000,36517,false
ranges,5,7,8261384957,^a|d$|a..$,18,39,37275918313,29377,false
glob,5,3,1874029365,b| r|^p|[^l]\*,13,34,26217315876,34611,false
ranges,5,8,2463075891,ab|d|f.$,18,39,992464703,27173,false
ranges,5,9,9135874206,a.[^trj]|d$,19,40,23345710001,28408,false
glob,5,5,8392760514,^p|wn|b|[^l]\*|r$,14,35,647643516,39549,false
ranges,5,10,7095231486,ab|d|fa,18,39,1011745516,31423,false
glob,5,6,4612780539,b|y.|^p|de.?$,13,34,37645724314,39174,false
ranges,5,12,2196735084,^f|ba|d|fa$,18,39,2183559563,28751,false
glob,5,7,8261384957,de|ow|[^l]\*|le|b|l$,14,35,30928417298,34955,false
ranges,5,13,9067852413,de|b|^d|eed|f.$,19,40,29200316813,33533,false
glob,5,8,2463075891,f|^p|[^e]\*|y.|r$,14,35,36830619360,32033,false
ranges,5,14,2405681973,a.[^trj]r?|[^i]d|^d$,20,41,1297216016,36627,false
glob,5,9,9135874206,b|lo|en|^p,13,34,22730612204,32377,false
ranges,5,16,1069782534,f|^d|ab|d.?$,19,40,38511621532,30329,false
glob,5,10,7095231486,[^l]\*|^p|y.,13,34,32398517579,33174,false
ranges,5,17,3018795246,d|ba|.f.$,18,39,1880118501,27658,false
glob,5,11,9842301657,y |[^l]\*|r$,12,33,620473500,34564,false
ranges,5,19,6087432195,ab|f|de?$,18,39,55469827642,30205,false
glob,5,12,2196735084,rr|^p|b|d.?$,12,33,57739138361,40986,false
ranges,5,20,4925731068,[^i]d|(f)\1|a..$,19,40,1223685078,31017,false
glob,5,13,9067852413,rr|^c|le|c$,13,34,46292531783,41377,false
ranges,5,21,3486027915,ff|de|^d|ba|d$,20,41,57076532783,34127,false
glob,5,14,2405681973,[^l]k?\*|^.o|e.$,13,34,50134031877,38049,false
ranges,5,22,6941372580,[^rji]d|a..?.$,20,41,614812875,33049,false
glob,5,15,2738495106,^p|y |.\*,12,33,28087114079,30080,false
ranges,5,24,1764028593,ba|(ff)|d\1e|d$,19,40,45701118563,27080,false
ranges,5,25,3857069214,ed|a.[^trj]|^f|d$,20,41,22051512126,31642,false
glob,5,16,1069782534,^c|le..|rr|c$,13,34,33468221001,36767,false
ranges,5,26,9125784630,a[^tprhm]|d$,18,39,52240226063,29501,false
glob,5,17,3018795246,[^p]y.|^p|fa|en|m$,15,36,29276117891,33923,false
ranges,5,27,7914823056,fe|de|b|^d|f.$,19,40,1050285547,32877,false
glob,5,18,1736058429,h^o|^p|le|[^l]\* |b|r$,14,35,55274130220,33861,false
ranges,5,28,1258360497,d|a.?[^]r?.$,18,39,31123916345,28220,false
glob,5,19,6087432195,^p|b|[^l]\*|r$,13,34,1204325282,33767,false
ranges,5,29,7965023841,a.[^trj]|d$,19,40,492122188,29126,false
glob,5,20,4925731068,[^l]\*|y |r$,12,33,843004532,31330,false
backrefs,5,1,4105328976,n[^]e|al|^m|r..?$,11,32,38779821439,33314,false
glob,5,21,3486027915,^p|rr|le.,12,33,33748220532,34095,false
backrefs,5,1,6370951248,..[^u]u|^.?e|l$,11,32,34744018063,34470,false
glob,5,22,6941372580,\* |^c|le|rr,13,34,44456822704,31673,false
backrefs,5,2,9431657082,e[^l].|^m|n.?e|l$,12,33,32613318532,32674,false
glob,5,23,1068243795,ig|[^l]\*|b|e.$,14,35,39665822736,34658,false
backrefs,5,3,1874029365,^b|e[^l].|.l$,10,31,42442220532,29205,false
glob,5,24,1764028593,b|[^l]\*|^p,12,33,834433578,30892,false
backrefs,5,4,5691784320,^l|e.[^lz]|l$,11,32,1643509172,31158,false
glob,5,25,3857069214,[^b]le|y.|i.e?$,13,34,53036527798,32299,false
backrefs,5,5,8392760514,^.?e|al|r.?.$,10,31,43016624439,33783,false
glob,5,26,9125784630,[^l]\*|d |y.,12,33,35203721189,34314,false
backrefs,5,7,8261384957,(^..?.|.).\1,12,33,293801797,30923,false
glob,5,27,7914823056,^p|y.|en|m$,14,35,1257327547,34252,false
backrefs,5,8,2463075891,ro|^.?e|l$,9,30,1073636516,30267,false
glob,5,28,1258360497,^p|ct|[^l]\*|y.,14,35,1155816547,37596,false
backrefs,5,9,9135874206,[^]..u|c$|^.?e|l$,12,33,57361432861,34830,false
glob,5,29,7965023841,ig|[^l]\*|^c|r$,13,34,504133453,41955,false
backrefs,5,10,7095231486,e.[^lz]|o.o|^l|l$,13,34,58893536580,37596,false
balance,5,1,4105328976,<<..<?>(>)..(<.)\1,26,58,41113232627,46955,false
backrefs,5,11,9842301657,e[^l].|r..?$,10,31,54766731220,34486,false
backrefs,5,12,2196735084,.f|e.[^lz],10,31,57282935533,37158,false
balance,5,1,6370951248,<<.(>)[^<](>?\1.<)<..|^<>$,26,58,56615147705,51190,false
backrefs,5,13,9067852413,^a|ce|t|r.?.?$,10,31,689203453,32502,false
balance,5,2,9431657082,(^<.<|>|^<>?)>$,23,55,23315418970,49159,false
backrefs,5,14,2405681973,e.[^lz]|l$,10,31,815094016,29392,false
backrefs,5,15,2738495106,al|^m|t|r.?.?$,11,32,1916799969,31986,false
balance,5,3,1874029365,((<<)\1).>>>.\1.|^<>$,26,58,14750712016,47565,false
backrefs,5,16,1069782534,rp|^c?m|f|t|al.?.?$,12,33,47611324345,33830,false
balance,5,4,5691784320,<<.(>[^<]>).<<()?.()|^<>$,26,58,54995447080,51346,false
backrefs,5,17,3018795246,mo|[^rw]e..|.l$,11,32,51068025095,29720,false
backrefs,5,18,1736058429,e.[^lz]|l$,10,31,38216520376,31423,false
balance,5,5,8392760514,^<>$|>>$,22,54,963087469,49534,false
backrefs,5,19,6087432195,on|e..|^l|f|r.$,10,31,856324313,32658,false
backrefs,5,20,4925731068,.f|e[^l].,9,30,43824921110,28767,false
balance,5,6,4612780539,[^](<)<.>(>)>.\1\1.|^<.$,26,58,50023752815,60065,true
backrefs,5,21,3486027915,e[^l].|l$,9,30,261781360,30423,false
balance,5,7,8261384957,<\1<.>(^<<|(>(>)).<<().\1.),25,57,526194672,48549,false
backrefs,5,22,6941372580,rb?a|^f|t.[^c],10,31,26838713688,28923,false
