Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
aman-aplan,3,19,6087432195,[g-r][^g]l|^t|^[i-n]|x|t*^r|[a-d]$,16,37,521423,99631,122272,true
triples,3,6,4612780539,[0-8][2-9]5[^]|2^5|0[012],12,33,391935,79051,118709,true
anchors,3,25,3857069214,k$,21,42,212538,35455,98333,true
aman-aplan,3,20,4925731068,^[h-k]|v|d|\b[n-t][e-o],13,34,458190,80176,104318,true
triples,3,7,8261384957,[1-9][12]4|4[^3]2|744|4$|\B(7|^0|5|[01])\1,15,36,560375,109349,120131,true
anchors,3,26,9125784630,k$,21,42,557845,90723,97192,true
aman-aplan,3,21,3486027915,[^]be|^r|^[h-k]|[vwx][e-l]|d,11,32,446416,80129,112411,true
powers,3,13,9067852413,^xx(x*)\1\b|\bxx?$\1,7,18,192689,76832,349095,true
anchors,3,27,7914823056,bk|h$,21,42,355391,58456,103834,true
triples,3,8,2463075891,[^0]14|1^4[45][45]2|2[234][2-7]|009|43|[0-8][0-7][0-6]$,12,33,565053,116303,131366,true
aman-aplan,3,22,6941372580,^t|^m|^k|[vwx][de][e-t]|oo|\br|[a-d]$,17,38,256152,46674,117835,true
anchors,3,28,1258360497,^k|n$,21,42,111282,19392,99959,true
triples,3,9,9135874206,[^67]86|0[012][2-9]|^4[0-4]|[0-3]7|00$,14,35,266353,52205,109396,true
aman-aplan,3,23,1068243795,x|^t|^[i-n]|l[l-r]|\br|[a-d]$,16,37,154124,27220,111036,true
anchors,3,29,7965023841,k$,21,42,254834,42486,96771,true
powers,3,14,2405681973,^x$|(^x*x?)\1$,7,18,430553,164992,209916,true
triples,3,10,7095231486,[^5](0[012][2-9]|4[3-8][2-6])|5[2-5]\1,14,35,132486,24704,122943,true
aman-aplan,3,24,1764028593,^t|^[i-m]|oo|se|^r|nf|[a-d]$,16,37,567988,102473,113599,true
anchors,5,1,4105328976,t^k|d$,21,42,65336,12453,98239,true
triples,3,11,9842301657,4\w[0-4]|6[3-6]|[0-7][0-7][2-6]$,13,34,32963,6344,113647,true
aman-aplan,3,25,3857069214,h[^]hx|^[i-n]|ah|\b[rst][e-o]|[a-d]$,16,37,551405,100568,117147,true
anchors,5,1,6370951248,k$,21,42,84784,14266,97271,true
triples,3,12,2196735084,[^2][3-9]5|0[012]|3[567]3,13,34,94210,17079,104412,true
anchors,5,2,9431657082,k$,21,42,461779,73301,94833,true
aman-aplan,3,26,9125784630,[e-n][^c]o|x|v|d|^r|^t|^[h-k],14,35,446241,78379,110412,true
powers,3,15,2738495106,^x?x$,2,13,599161,326219,326547,true
triples,3,13,9067852413,7888|[01]0[2-9]|2[34]|5[1-7][0-8]|0[012]$,14,35,318121,59237,114881,true
anchors,5,3,1874029365,u[s-w]k[c-l][c-l]M|k$,21,42,65364,11219,104037,true
aman-aplan,3,27,7914823056,[rs]v|e|oo|d|a[h-k],12,33,170290,29361,152711,true
anchors,5,4,5691784320,oK[^m]|[ijk]$,21,42,556335,98271,106553,true
triples,3,14,2405681973,0[^5][2-6]$|32|24|[0-3]9|[56][3-6]|2$,14,35,110624,22798,134695,true
aman-aplan,3,28,1258360497,\br|^[e-k]|v|d|[e-r][st]$,13,34,165445,28782,104771,true
anchors,5,5,8392760514,^i[a-e]|k$,21,42,234633,38424,96006,true
powers,3,16,1069782534,^x?x$,2,13,270666,150368,292734,true
triples,3,15,2738495106,^[01]+[2-6]|9[01]5|[01]2|[0-3]7,13,34,87391,16876,128429,true
aman-aplan,3,29,7965023841,^[i-n]|^t|^r|o[i-n]o|dbar|x|[a-d]$,15,36,509888,93552,111381,true
anchors,5,6,4612780539,vk|M$,21,42,24191,4578,99959,true
aman-aplan,5,1,4105328976,x|^r|^t|^[h-k]|v|d,12,33,389676,71973,110787,true
triples,3,16,1069782534,[3-6]6|54|2[34]|[0-8][0-7][2-6]$,13,34,140937,28235,148491,true
anchors,5,7,8261384957,edk|k$,21,42,18504,3672,106474,true
aman-aplan,5,1,6370951248,x|^[i-n]|\bt|\br|[a-d]$,14,35,378966,69442,108381,true
triples,3,17,3018795246,0[012]|\B5[0-7][0-8],12,33,568360,106256,113428,true
anchors,5,8,2463075891,k$,21,42,515100,83724,97021,true
