Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
order,5,16,1069782534,^[abc][cde][c-l]|lo|w[t-y]s|[f-t][o-t][s-z]$,20,41,251536,-14704,38471,false
warmup,5,25,3857069214,foo,21,42,559236,-31673,33189,false
warmup,5,26,9125784630,foo,21,42,474095,-20845,25345,false
order,5,17,3018795246,^[abc][cde][c-l]|md|[f-t][o-y][o-z]$,20,41,333553,-19970,43487,false
warmup,5,28,1258360497,[fg]oo,21,42,318572,-17845,33283,false
order,5,18,1736058429,^[a-o][c-o][c-t][e-t],20,41,461506,-22798,29345,false
warmup,5,29,7965023841,foo,21,42,114778,-5375,27001,false
order,5,19,6087432195,[^]t^lf|[f-t][o-z][o-z]$,17,38,500023,-28986,37768,false
anchors,5,1,4105328976,t^k|d$,21,42,56652,-2328,24158,false
anchors,5,1,6370951248,k$,21,42,554036,-20079,21626,false
order,5,20,4925731068,^[a-g][c-o][c-t][e-t]|s[wxy],21,42,63546,-2672,40471,false
anchors,5,2,9431657082,k$,21,42,406351,-16688,23892,false
order,5,21,3486027915,[f-o][o-t][p-t]|[abc][c-h],19,40,60554,-2766,45987,false
anchors,5,3,1874029365,u[s-w]k[c-l][c-l]M|k$,21,42,57472,-2453,33751,false
order,5,22,6941372580,^[a-o][c-o][c-t][e-t],20,41,218715,-10969,37377,false
anchors,5,4,5691784320,k$,21,42,530381,-28298,30533,false
anchors,5,5,8392760514,ud[c-l]k|$,21,42,510225,-19876,23892,false
order,5,23,1068243795,^[a-o][c-o][c-t][e-t],20,41,79017,-2860,46221,false
anchors,5,6,4612780539,Nk|k$,21,42,36490,-1672,28204,false
order,5,24,1764028593,^c|[a-d]e|[o-t][t-y]$,20,41,246233,-12063,34345,false
anchors,5,7,8261384957,edk|k$,21,42,16268,-797,33424,false
anchors,5,8,2463075891,k$,21,42,444960,-17188,23407,false
order,5,25,3857069214,^[a-o][c-o][c-t][e-t],20,41,110629,-5016,36392,false
anchors,5,9,9135874206,k$,21,42,538737,-21954,25095,false
order,5,26,9125784630,^[a-g][c-o][c-t][e-t]|z[f-t]y|h$,20,41,152910,-7969,30220,false
anchors,5,10,7095231486,k$,21,42,453934,-22907,28595,false
