Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,5600405384,foo,foo,207,210,21,0,2817,400000,857,43335,false
anchors,5,1,2967301147,k$,k$,208,210,21,0,58709,400000,8405,47284,false
backrefs,5,26,7659837985,g?[f-t][b-r][a-u][l-v],g?[f-t][b-r][a-u][l-v],108,210,19,6,90180,300000,13988,41890,false
ranges,5,1,2967301147,^[a-f]*$,^[a-f]*$,202,210,21,0,94680,400000,14121,48123,false
backrefs,5,27,2521100877,[^gr][tgmu][d-s]{2},[^gr][gmtu][d-s]{2},131,210,16,1,40239,300000,6458,37302,false
warmup,5,2,1632819610,foo,foo,207,210,21,0,37382,400000,6484,49597,false
anchors,5,1,5600405384,k$,k$,208,210,21,0,5358,400000,1520,47674,false
warmup,5,3,1412034944,foo,foo,207,210,21,0,3675,400000,1378,44415,false
backrefs,5,28,8801535107,[a-u][a-l].[m-r][^gz],[a-u][a-l].[m-r][^gz],129,210,18,3,199053,300000,32032,47301,false
ranges,5,1,5600405384,^[a-f]*$,^[a-f]*$,202,210,21,0,17915,400000,3623,48503,false
anchors,5,2,1632819610,k$,k$,208,210,21,0,169604,400000,21400,48318,false
backrefs,5,29,9651599436,[^o][b-o].[m-r][^z],o[b-o].[m-r]z,121,210,17,3,111484,300000,15105,42162,false
warmup,5,4,9724161943,f.o,f.o,207,210,21,0,5797,400000,1619,44935,false
ranges,5,2,1632819610,^[a-f]*$,^[a-f]*$,202,210,21,0,21615,400000,4112,48124,false
anchors,5,3,1412034944,k$,k$,208,210,21,0,214083,400000,25977,47123,false
warmup,5,5,4037724866,foo,foo,207,210,21,0,4133,400000,1377,48179,false
backrefs,5,1,2967301147,[^cw][e-h].[a-t].,[^cw][e-h].[a-t].,123,210,16,2,59527,400000,9167,53339,false
ranges,5,3,1412034944,^[a-f]*$,^[a-f]*$,202,210,21,0,156653,400000,21096,47277,false
anchors,5,4,9724161943,k$,k$,208,210,21,0,329764,400000,41191,49931,false
warmup,5,6,8370032799,foo,foo,207,210,21,0,72634,400000,10075,44728,false
ranges,5,4,9724161943,^[a-f]*$,^[a-f]*$,202,210,21,0,64285,400000,10151,47794,false
backrefs,5,1,5600405384,^[^gdnkw][a-u][d-t],^[^dgknw][a-u][d-t],121,210,19,5,138761,400000,20572,54850,false
anchors,5,5,4037724866,k$,k$,208,210,21,0,95442,400000,12038,45671,false
warmup,5,7,2767986875,foo,foo,207,210,21,0,2331,400000,869,43761,false
anchors,5,6,8370032799,k$,k$,208,210,21,0,14766,400000,2898,46949,false
ranges,5,5,4037724866,^[a-f]*$,^[a-f]*$,202,210,21,0,87076,400000,12751,49472,false
backrefs,5,2,1632819610,[d-h][^a][^x]*[tuv],[d-h]ax*[tuv],111,210,14,1,357866,400000,51428,58811,false
warmup,5,8,3141506592,foo,foo,207,210,21,0,4134,400000,1262,43473,false
anchors,5,7,2767986875,k$,k$,208,210,21,0,1590,400000,613,46758,false
ranges,5,6,8370032799,^[a-f]*$,^[a-f]*$,202,210,21,0,61363,400000,9208,47082,false
