Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
backrefs,5,3,1412034944,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,21323,400000,3872,52490,false
warmup,5,9,3313543896,foo,foo,207,210,21,0,3243,400000,1043,44230,false
anchors,5,8,3141506592,k$,k$,208,210,21,0,260889,400000,32306,48198,false
ranges,5,7,2767986875,^[a-f]*$,^[a-f]*$,202,210,21,0,14829,400000,3252,47892,false
backrefs,5,4,9724161943,[^oh[bc]]*[b-o].[m-r].,[^\[bcho]\]*[b-o].[m-r].,128,210,17,2,268752,400000,41819,59336,false
warmup,5,10,8657690939,foo,foo,207,210,21,0,11619,400000,2720,50756,false
anchors,5,9,3313543896,k$,k$,208,210,21,0,2657,400000,895,49413,false
ranges,5,8,3141506592,^[a-f]*$,^[a-f]*$,202,210,21,0,4606,400000,1391,48582,false
warmup,5,11,9696640194,foo,foo,207,210,21,0,3676,400000,1120,44435,false
backrefs,5,5,4037724866,^[^kdnw][a-t][d-t][a-t],^[^dknw][a-t][d-t][a-t],107,210,17,4,292362,400000,38108,50053,false
anchors,5,10,8657690939,k$,k$,208,210,21,0,14016,400000,2835,48458,false
ranges,5,9,3313543896,^[a-f]*$,^[a-f]*$,202,210,21,0,35206,400000,5993,48624,false
warmup,5,12,6621545651,foo,foo,207,210,21,0,9832,400000,2210,44844,false
backrefs,5,6,8370032799,[e-h][a-u][a-t][^s][f-y],[e-h][a-u][a-t][^s][f-y],126,210,17,2,107071,400000,14572,49774,false
anchors,5,11,9696640194,k$,k$,208,210,21,0,101171,400000,13393,47986,false
ranges,5,10,8657690939,^[a-f]*$,^[a-f]*$,202,210,21,0,68821,400000,9576,49085,false
warmup,5,13,2492462788,foo,foo,207,210,21,0,7631,400000,1689,44612,false
backrefs,5,7,2767986875,[d-h][^lx]+[tuv],[d-h][^lx]+[tuv],114,210,14,1,10487,400000,2422,52477,false
anchors,5,12,6621545651,k$,k$,208,210,21,0,195738,400000,24118,45124,false
ranges,5,11,9696640194,^[a-f]*$,^[a-f]*$,202,210,21,0,14352,400000,2891,47511,false
warmup,5,14,3404588599,foo,foo,207,210,21,0,2790,400000,983,45757,false
backrefs,5,8,3141506592,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,315387,400000,44751,55275,false
anchors,5,13,2492462788,k$,k$,208,210,21,0,57104,400000,7533,46361,false
warmup,5,15,2330977742,foo,foo,207,210,21,0,3275,400000,1131,44367,false
ranges,5,12,6621545651,^[a-f]*$,^[a-f]*$,202,210,21,0,51740,400000,8148,48223,false
anchors,5,14,3404588599,k$,k$,208,210,21,0,4228,400000,1285,51413,false
backrefs,5,9,3313543896,[e-h]p*[a-u][a-t][^s][f-y],[e-h]p*[a-u][a-t][^s][f-y],124,210,17,2,226116,400000,33515,58418,false
warmup,5,16,6361187489,foo,foo,207,210,21,0,3223,400000,1131,44266,false
ranges,5,13,2492462788,^[a-f]*$,^[a-f]*$,202,210,21,0,48967,400000,7694,46381,false
anchors,5,15,2330977742,k$,k$,208,210,21,0,388493,400000,44084,45240,false
warmup,5,17,2805026820,foo,foo,207,210,21,0,3217,400000,1019,44182,false
ranges,5,14,3404588599,^[a-f]*$,^[a-f]*$,202,210,21,0,64074,400000,9104,45008,false
backrefs,5,10,8657690939,^[^kdgw][^ocy][d-t],^[^dgkw][^coy][d-t],131,210,18,3,27756,400000,4977,63588,false
anchors,5,16,6361187489,k$,k$,208,210,21,0,22758,400000,4081,48769,false
warmup,5,18,4323456912,foo,foo,207,210,21,0,4193,400000,1225,44523,false
ranges,5,15,2330977742,^[a-f]*$,^[a-f]*$,202,210,21,0,10548,400000,2409,49209,false
backrefs,5,11,9696640194,[g-t][b-u].[o-v][b-y],[g-t][b-u].[o-v][b-y],129,210,17,2,349127,400000,51494,55102,false
warmup,5,19,8361101999,foo,foo,207,210,21,0,44752,400000,8868,45759,false
anchors,5,17,2805026820,k$,k$,208,210,21,0,76880,400000,12618,48472,false
ranges,5,16,6361187489,^[a-f]*$,^[a-f]*$,202,210,21,0,17036,400000,3285,48025,false
backrefs,5,12,6621545651,^a*[^nk][a-u][d-t][o-u]*[a-i],^a*[^kn][a-u][d-t][o-u]*[a-i],151,210,20,2,166018,400000,28607,59229,false
warmup,5,20,9935136846,foo,foo,207,210,21,0,6336,400000,1691,45213,false
anchors,5,18,4323456912,k$,k$,208,210,21,0,97855,400000,12347,52658,false
ranges,5,17,2805026820,^[a-f]*$,^[a-f]*$,202,210,21,0,28956,400000,5186,48213,false
warmup,5,21,5217407358,foo,foo,207,210,21,0,25336,400000,4213,44945,false
backrefs,5,13,2492462788,[g-u][b-r][^ih][l-v],[g-u][b-r][^hi][l-v],120,210,19,5,98477,400000,15618,60837,false
anchors,5,19,8361101999,k$,k$,208,210,21,0,4,400000,50,46680,false
ranges,5,18,4323456912,^[a-f]*$,^[a-f]*$,202,210,21,0,33348,400000,5133,47941,false
warmup,5,22,5619256299,foo,foo,207,210,21,0,4601,400000,1424,44538,false
anchors,5,20,9935136846,k$,k$,208,210,21,0,1,400000,67,46955,false
backrefs,5,14,3404588599,[tpmu][d-s]{2},[mptu][d-s]{2},106,210,17,5,310357,400000,44115,58905,false
ranges,5,19,8361101999,^[a-f]*$,^[a-f]*$,202,210,21,0,24937,400000,4140,47924,false
