Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
aman-aplan,1,2,9431657082,^[h-k]|v|d|\b[n-t][e-o],^[h-k]|v|d|\b[n-t][e-o],13,34,113011,19017,127320,true
order,5,23,1068243795,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,92311,14844,112100,true
anchors,1,3,1874029365,g[s-w][c-l]k|$,g[s-w][c-l]k|$,21,42,321610,50768,100349,true
aman-aplan,1,3,1874029365,x|^r|^t|^[h-k]|d|v,x|^r|t|[h-k]|d|v,12,33,96710,16282,107053,true
order,5,24,1764028593,^c|[a-d]e|[o-t][t-y]$,^c|[a-d]e|[o-t][t-y]$,20,41,308353,52518,106834,true
anchors,1,4,5691784320,k$,k$,21,42,304286,53565,99412,true
powers,1,22,6941372580,xxxxx(xx[^]x)\1x.x|^xx?$,x{5}(xx.x)\#x.x|^xx?$,3,14,484420,948153,1037018,true
order,5,25,3857069214,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,128737,22548,104428,true
anchors,1,5,8392760514,^i[a-e]|k$,^i[a-e]|k$,21,42,247458,41158,96989,true
aman-aplan,1,4,5691784320,^r|^t|^k|x|v|d|a[e-o]$,^r|^t|^k|x|v|d|a[e-o]$,13,34,348878,60316,107100,true
order,5,26,9125784630,^[a-g][c-o][c-t][e-t]|z[f-t]y|h$,^[a-g][c-o][c-t][e-t]|z[f-t]y|h$,20,41,179396,31517,98880,true
anchors,1,6,4612780539,k$,k$,21,42,178855,29517,101552,true
aman-aplan,1,5,8392760514,x|^r|^t|^[i-n]|[a-d]$,x|^r|t|[i-n]|[a-d]$,14,35,286071,49565,102849,true
aman-aplan,1,6,4612780539,x|^m|^k|\b[l-t][e-o]|[a-d]$,x|^m|^k|\b[l-t][e-o]|[a-d]$,15,36,471476,79895,102084,true
order,5,27,7914823056,[a-d]e|c[^eu][op][o-y]|[f-t][f-t][o-z][o-z]$,[a-d]e|c[^eu][op][o-y]|[f-t][f-t][o-z][o-z]$,21,42,341533,63207,115162,true
anchors,1,7,8261384957,k$,k$,21,42,36732,6110,115882,true
powers,1,23,1068243795,^x?x$,^x?x$,2,13,382675,199651,399473,true
anchors,1,8,2463075891,[ijk]\b,[ijk]\b,21,42,11118,2328,96865,true
aman-aplan,1,7,8261384957,x|^t|^[i-m]|o[^][lmn]|^r|[a-d]$,x|^t|^[i-m]|o[^][lmn]|^r|[a-d]$,16,37,430544,73425,111833,true
order,5,28,1258360497,^a[^n]|[o-r][o-y]\b|[st][t-z]\b,^a[^n]|[o-r][o-y]\b|[st][t-z]\b,19,40,402904,67613,107943,true
anchors,1,9,9135874206,k$,k$,21,42,52620,8985,98599,true
aman-aplan,1,8,2463075891,oo|v|^r|^[e-k]|d|[de][t-x],oo|v|^r|[e-k]|d|[de][t-x],13,34,435949,78458,110990,true
order,5,29,7965023841,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,179704,30642,115834,true
anchors,1,10,7095231486,l^d|k$,l^d|k$,21,42,329213,56877,105037,true
aman-aplan,1,9,9135874206,o^t|^[i-n]|^[rst][e-o]|eie|[a-d]$,o^t|[i-n]|[rst][e-o]|eie|[a-d]$,15,36,524562,90271,106146,true
triples,1,1,4105328976,00|4[^1][2-6]\B|87|4+$,00|4[^1][2-6]\B|87|4+$,13,34,361167,74754,117584,true
anchors,1,11,9842301657,^at[abc]|k$,^at[abc]|k$,21,42,121800,21813,114975,true
aman-aplan,1,10,7095231486,^[h-k]|v|d|\b[n-t][e-o],^[h-k]|v|d|\b[n-t][e-o],13,34,132264,22611,105053,true
triples,1,1,6370951248,^71|27|0[^02][56]|9$|6$|2\b|3\w[0-7],^71|27|0[^012][56]|9|6$|2\b|3\w[0-7],14,35,235190,48736,131632,true
powers,1,24,1764028593,^x?x$,{0}^x?x$,2,13,464393,242278,400237,true
anchors,1,12,2196735084,k$,k$,21,42,280733,45314,98333,true
aman-aplan,1,11,9842301657,[^]x|k|oo|l[e-l]|^r|^t|[a-d]$,.x|k|oo|l[e-l]|^r|^t|[a-d]$,15,36,425579,82364,115819,true
triples,1,2,9431657082,[^81]4|1^0|09|[0-7][0-7][0-6]$,[^1-8]4|1^0|09|[0-7][0-7][0-6]$,12,33,106441,20782,111772,true
anchors,1,13,9067852413,k$,k$,21,42,296299,51018,103193,true
aman-aplan,1,12,2196735084,k^t|^[i-n]|^[rst][e-o]|[a-d]$,k^t|^[i-n]|^[rst][e-o]|[a-d]$,15,36,362255,63003,109442,true
triples,1,3,1874029365,6$|4[^3]2|00|9[01][2-5]\B|[34][0-7][2-7][3-7],6$|4[^3]2|00|9[01][2-5]\B|[34][0-7][2-7][3-7],16,37,342726,70207,124834,true
anchors,1,14,2405681973,[ijk]$,[ijk]$,21,42,242128,38533,95271,true
aman-aplan,1,13,9067852413,^[i-n]|^r|^h[a-i]l|[e-i][^re]$,^[i-n]|^r|h[a-i]l|[e-i][^re]$,15,36,299294,53502,107834,true
powers,1,25,3857069214,^xx?$,^xx?$,2,13,173418,62660,274966,true
anchors,1,15,2738495106,[ijk]$,[ijk]$,21,42,593026,98959,103443,true
triples,1,4,5691784320,[^]5[0-7][0-8]|0[012],.5[0-7][0-8]|0[012],12,33,11255,2422,146491,true
aman-aplan,1,14,2405681973,x|v|d|l[l-r][a-o]|^r|^t|^k,x|v|d|l[l-r][a-o]|^r|t|k,14,35,126697,22407,118724,true
